Class_ID,Class_Name,Count
0,Speed limit 20,147
1,Speed limit 30,210
2,Speed limit 50,210
3,Speed limit 60,210
4,Speed limit 70,210
5,Speed limit 80,210
6,End speed limit 80,210
7,Speed limit 100,210
8,Speed limit 120,210
9,No passing,210
10,No passing >3.5t,210
11,Right-of-way,210
12,Priority road,210
13,Yield,210
14,Stop,210
15,No vehicles,210
16,No vehicles >3.5t,210
17,No entry,210
18,General caution,210
19,Curve left,147
20,Curve right,210
21,Double curve,210
22,Bumpy road,210
23,Slippery road,210
24,Road narrows right,189
25,Road work,210
26,Traffic signals,210
27,Pedestrians,168
28,Children crossing,210
29,Bicycles crossing,189
30,Ice/snow,210
31,Wild animals,210
32,End restrictions,168
33,Turn right ahead,210
34,Turn left ahead,210
35,Go ahead,210
36,Go ahead or right,210
37,Go ahead or left,147
38,Keep right,210
39,Keep left,210
40,Roundabout,210
41,End no passing,168
42,End no passing >3.5t,168
