,precision,recall,f1-score,support
Speed limit 20,0.0,0.0,0.0,31.0
Speed limit 30,0.0,0.0,0.0,45.0
Speed limit 50,0.0,0.0,0.0,45.0
Speed limit 60,0.0,0.0,0.0,45.0
Speed limit 70,0.0,0.0,0.0,45.0
Speed limit 80,0.0243,1.0,0.0475,45.0
End speed limit 80,0.0,0.0,0.0,45.0
Speed limit 100,0.0,0.0,0.0,45.0
Speed limit 120,0.0,0.0,0.0,45.0
No passing,0.0,0.0,0.0,45.0
No passing >3.5t,0.0,0.0,0.0,45.0
Right-of-way,0.0,0.0,0.0,45.0
Priority road,0.0,0.0,0.0,45.0
Yield,0.0,0.0,0.0,45.0
Stop,0.0,0.0,0.0,45.0
No vehicles,0.0,0.0,0.0,45.0
No vehicles >3.5t,0.0,0.0,0.0,45.0
No entry,0.0,0.0,0.0,45.0
General caution,0.0,0.0,0.0,45.0
Curve left,0.0,0.0,0.0,32.0
Curve right,0.0,0.0,0.0,45.0
Double curve,0.0,0.0,0.0,45.0
Bumpy road,0.0,0.0,0.0,45.0
Slippery road,0.0,0.0,0.0,45.0
Road narrows right,0.0,0.0,0.0,41.0
Road work,0.0,0.0,0.0,45.0
Traffic signals,0.0,0.0,0.0,45.0
Pedestrians,0.0,0.0,0.0,36.0
Children crossing,0.0,0.0,0.0,45.0
Bicycles crossing,0.0,0.0,0.0,41.0
Ice/snow,0.0,0.0,0.0,45.0
Wild animals,0.0,0.0,0.0,45.0
End restrictions,0.0,0.0,0.0,36.0
Turn right ahead,0.0,0.0,0.0,45.0
Turn left ahead,0.0,0.0,0.0,45.0
Go ahead,0.0,0.0,0.0,45.0
Go ahead or right,0.0,0.0,0.0,45.0
Go ahead or left,0.0,0.0,0.0,31.0
Keep right,0.0,0.0,0.0,45.0
Keep left,0.0,0.0,0.0,45.0
Roundabout,0.0,0.0,0.0,45.0
End no passing,0.0,0.0,0.0,36.0
End no passing >3.5t,0.0,0.0,0.0,36.0
accuracy,0.0243,0.0243,0.0243,0.0243
macro avg,0.0006,0.0233,0.0011,1850.0
weighted avg,0.0006,0.0243,0.0012,1850.0
